name,type,lat,lon,address
Nguyen Tat Thanh University,Trường đại học,10.7609859,106.7102319,"Đ. Nguyễn Tất Thành/300A Xóm Chiếu, Phường, Quận 4, Thành phố Hồ Chí Minh 70000, Vietnam"
"Trung tâm Tiếng Trung, Nhật, Hàn (SDTC - Trường Đại học Tôn Đức Thắng)",Trường đại học,10.7329112,106.699159,"19 Đ. Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Toà F Đại học Tôn Đức Thắng,Trường đại học,10.730782699999999,106.6988379,"PMJX+8GV, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
RMIT Vietnam Academic Building 2,Trường đại học,10.729503699999999,106.6960337,"Main gate - Cổng chính, 702 Đường Nguyễn Văn Linh, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
HCMC University of Technology (HUTECH) – Sai Gon Campus,Trường đại học,10.801617499999999,106.71445589999999,"475A Điện Biên Phủ, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 70000, Vietnam"
Saigon University - Campus 2,Trường đại học,10.7830382,106.7062212,"4 Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam"
RMIT Vietnam Academic Beanland Building,Trường đại học,10.729202299999999,106.69574,"Main gate - Cổng chính, 702 Đường Nguyễn Văn Linh, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
Ký túc xá và TT Giáo dục quốc phòng TDTU,Trường đại học,10.730987899999999,106.6978486,"PMJX+94X, Unnamed Road, Tân Hưng, Quận 7, Vietnam"
Saigon Exhibition and Convention Center (SECC),Chợ,10.7306572,106.7213436,"799 Đường Nguyễn Văn Linh, Phường Tân Mỹ, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Chợ Tân Kiểng 2,Chợ,10.7453922,106.7044688,"239 Đ. Lê Văn Lương, Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Tan My Market,Chợ,10.736446599999999,106.718317,"258 Đ. Tân Mỹ, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Chợ Tân Quy,Chợ,10.7449774,106.7071307,"Số 6, Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Chợ Phú Thuận,Chợ,10.727841999999999,106.7358742,"Đường Cao Thị Chính, Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Chợ Tân Kiểng 1,Chợ,10.7517213,106.7054388,"193 Đ. Trần Xuân Soạn, Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Phuoc Long Open Market,Chợ,10.703772299999999,106.73252939999999,"19 Đường 15B, Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Tan Thuan Market,Chợ,10.756664299999999,106.7221952,"Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Chợ đồ cũ Quận 7,Chợ,10.7395015,106.6949671,"1041/62/207, Trần Xuân Soạn, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Hội hoa xuân Phú Mỹ Hưng,Chợ,10.725117599999999,106.7200531,"111 Đ. Tôn Dật Tiên, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Ba Hom Market,Chợ,10.739872799999999,106.70560169999999,"338 Đ. Nguyễn Thị Thập, Tân Quy, Quận 8, Thành phố Hồ Chí Minh, Vietnam"
200 Market,Chợ,10.7554992,106.7091744,"Nhà thờ Thánh Giuse (hẻm 183), Xóm Chiếu, Phường 15, Quận 4, Thành phố Hồ Chí Minh 70000, Vietnam"
ĐẢO HẢI SẢN - Tân Mỹ Q7,Chợ,10.7378895,106.71804549999999,"2 Đ. Tân Mỹ, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 70000, Vietnam"
Ben Thanh Market,Chợ,10.7725168,106.6980208,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam"
Fresh Market,Chợ,10.735753899999999,106.73137899999999,"Huỳnh Tấn Phát, Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
VIFA EXPO - Vietnam International Furniture & Home Accessories Fair,Chợ,10.7310117,106.72167689999999,"799 Đường Nguyễn Văn Linh, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Công ty TNHH HOA 18 - HOA18.COM,Chợ,10.7363546,106.71825469999999,"1,2,3,4, 6 Đ. Tân Mỹ, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
District 7,Chợ,10.7385437,106.72936109999999,"Ho Chi Minh City, Vietnam"
Rach Dia Market,Chợ,10.7238235,106.6977082,"143 Hương lộ 34 h, Nhà Bè, Vietnam"
Phu Xuan Market,Chợ,10.6892908,106.73983129999999,"32 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Thành phố Hồ Chí Minh 700000, Vietnam"
Van Phuc City Hospital,Bệnh viện,10.842423,106.7116209,"01 Đường 10, Khu nhà ở Vạn Phúc 1, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
Bệnh Viện Quận Thủ Đức Khoa Tâm Thể,Bệnh viện,10.863101,106.7459339,"106 Đ. Tam Hà, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Phòng khám đa khoa Linh Xuân( cơ sở 3 Bệnh Viện Thành Phố Thủ Đức),Bệnh viện,10.8780349,106.7663736,"79 QL1K, Linh Xuân, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Trường Đại học Ngân hàng TP. HCM - Cơ sở Thủ Đức,Trường đại học,10.857514199999999,106.7635152,"56 Đ. Hoàng Diệu 2, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
HCMC University of Law,Trường đại học,10.8298954,106.7135529,"123 QL13, Hiệp Bình Chánh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
School of Medicine - VNU-HCM,Trường đại học,10.888324299999999,106.7982759,"16/40 QL1A, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Đại học Kiến trúc TP.HCM cơ sở Thủ Đức,Trường đại học,10.8416441,106.7642843,"48 Đặng Văn Bi, Bình Thọ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Thu Duc College of Technology,Trường đại học,10.8514325,106.7580641,"53 Đ. Võ Văn Ngân, Phường, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
People's Police University,Trường đại học,10.8581345,106.75577899999999,"179a Đ. Kha Vạn Cân, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Kami Làng Đại Học Thủ Đức,Trường đại học,10.872937199999999,106.79927409999999,"VQFX+5PC, Đông Hoà, Dĩ An, Bình Dương, Vietnam"
Linh Trung Market,Chợ,10.8598126,106.77261779999999,"VQ5F+W2H, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
Chợ Thủ Đức B,Chợ,10.8490307,106.7565932,"8 Đường Số 10, Trường Thọ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Sante Hospital,Bệnh viện,10.804001999999999,106.7092495,"11A Đinh Bộ Lĩnh, Phường, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam"
Gia Dinh General Hospital,Bệnh viện,10.820904599999999,106.7048075,"425 - 427 - 429, Nơ Trang Long, Phường Bình Lợi Trung, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam"
HCMC Oncology Hospital,Bệnh viện,10.8049868,106.6943584,"47 Nguyễn Huy Lượng, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
Bình Thạnh District Medical Center,Bệnh viện,10.8109179,106.6946943,"99/6 Nơ Trang Long, Phường 11, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
Trường Đại học Thủy lợi - Phân hiệu Miền nam,Trường đại học,10.7927156,106.7063343,"2 Trường Sa, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh 70000, Vietnam"
Trường Đại học Ngoại Thương CS2,Trường đại học,10.8067668,106.7132159,"15 D5, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
